Student_ID,Name,Section,Parental_Education,Study_Hours_per_Day,Sleep_Hours,Attendance_Percentage,Internet_Access,Extra_Classes,Math_Marks,Science_Marks,English_Marks,Hindi_Marks,SST_Marks,Final_Score,Result,Grade
1,Amit Kumar Sharma_1,C,School,4.66,7.16,97.0,Yes,No,57.58,77.26,67.91,75.15,69.67,69.52,Pass,A
2,Rahul Singh Verma_2,A,Graduate,5.5,5.27,61.12,Yes,Yes,54.96,42.08,68.02,55.19,73.37,58.72,Pass,B
3,Priya Raj Yadav_3,C,Graduate,8.24,7.33,67.92,Yes,No,30.28,81.65,76.85,66.47,75.28,66.1,Pass,A
4,Sneha Dev Gupta_4,C,Graduate,4.55,6.53,75.87,Yes,Yes,52.92,43.52,51.51,65.35,62.68,55.2,Pass,B
5,Arjun Prasad Singh_5,A,Graduate,2.81,3.31,59.68,Yes,No,51.96,36.83,78.9,58.56,61.38,57.53,Pass,B
6,Anjali Kant Kumar_6,A,Graduate,5.1,5.46,84.5,Yes,No,70.85,66.66,61.3,74.8,85.96,71.91,Pass,A
7,Vikas Narayan Mishra_7,C,School,3.77,4.01,91.71,Yes,Yes,46.08,88.32,65.07,73.14,76.07,69.73,Pass,A
8,Neha Deep Tiwari_8,B,School,7.34,5.61,61.75,Yes,No,54.28,75.37,74.59,83.9,66.38,70.9,Pass,A
9,Rohit Mohan Pandey_9,C,Graduate,3.75,6.87,64.82,Yes,No,80.57,76.31,68.69,87.17,54.47,73.44,Pass,A
10,Pooja Shiv Chauhan_10,C,Graduate,4.53,6.14,92.91,No,No,49.76,73.72,60.89,72.92,66.3,64.72,Pass,A
11,Karan Kumar Sharma_11,C,School,5.43,7.24,77.17,Yes,No,48.3,57.06,76.35,54.0,67.6,60.66,Pass,A
12,Simran Singh Verma_12,C,Postgraduate,5.24,3.68,71.69,Yes,Yes,91.67,51.17,62.89,82.66,70.44,71.76,Pass,A
13,Amit Raj Yadav_13,A,School,6.59,7.65,63.57,Yes,No,93.74,37.68,69.48,54.62,47.98,60.7,Pass,A
14,Rahul Dev Gupta_14,C,Postgraduate,5.5,6.79,69.46,No,Yes,62.94,71.72,57.76,81.5,55.41,65.86,Pass,A
15,Priya Prasad Singh_15,B,School,8.01,4.98,72.8,Yes,Yes,77.39,54.15,81.2,46.61,51.46,62.16,Pass,A
16,Sneha Kant Kumar_16,A,School,5.17,6.47,84.59,Yes,Yes,74.39,81.19,51.65,67.62,64.24,67.82,Pass,A
17,Arjun Narayan Mishra_17,B,Postgraduate,6.45,9.0,74.96,Yes,Yes,74.81,65.41,52.32,51.13,45.5,57.83,Pass,B
18,Anjali Deep Tiwari_18,B,School,3.8,8.26,61.35,Yes,No,58.52,64.33,60.33,77.07,72.47,66.54,Pass,A
19,Vikas Mohan Pandey_19,B,Postgraduate,7.46,8.51,67.16,Yes,No,68.81,32.18,88.3,62.99,82.45,66.95,Pass,A
20,Neha Shiv Chauhan_20,B,School,3.98,6.24,58.23,Yes,Yes,68.55,57.5,73.11,60.21,62.93,64.46,Pass,A
21,Rohit Kumar Sharma_21,A,Graduate,6.73,7.86,73.01,Yes,No,72.21,59.78,69.12,81.34,53.61,67.21,Pass,A
22,Pooja Singh Verma_22,A,Postgraduate,5.84,8.07,100.0,Yes,Yes,66.99,16.86,56.87,63.3,84.38,57.68,Pass,B
23,Karan Raj Yadav_23,B,School,4.6,5.25,100.0,Yes,No,69.67,57.38,73.7,52.98,54.31,61.61,Pass,A
24,Simran Dev Gupta_24,B,Postgraduate,6.74,8.05,79.91,Yes,No,57.37,59.76,65.29,87.59,75.8,69.16,Pass,A
25,Amit Prasad Singh_25,A,Graduate,4.48,7.78,50.21,Yes,Yes,55.4,58.4,62.14,52.12,75.08,60.63,Pass,A
26,Rahul Kant Kumar_26,A,Graduate,6.55,5.69,88.89,Yes,Yes,78.62,44.83,83.23,57.47,48.95,62.62,Pass,A
27,Priya Narayan Mishra_27,A,Graduate,5.07,6.61,85.01,Yes,Yes,63.75,77.24,81.53,77.34,72.61,74.5,Pass,A
28,Sneha Deep Tiwari_28,C,Postgraduate,3.93,8.13,100.0,Yes,No,56.07,57.21,50.02,67.41,61.93,58.53,Pass,B
29,Arjun Mohan Pandey_29,C,School,4.98,6.43,76.12,No,Yes,100.0,26.71,81.1,77.88,65.6,70.26,Pass,A
30,Anjali Shiv Chauhan_30,C,School,4.55,7.56,68.62,Yes,No,97.91,39.78,63.79,82.31,34.15,63.59,Pass,A
31,Vikas Kumar Sharma_31,B,Postgraduate,3.84,5.93,60.02,Yes,Yes,46.95,94.73,71.48,62.38,58.79,66.87,Pass,A
32,Neha Singh Verma_32,C,Postgraduate,4.85,5.19,87.34,Yes,Yes,61.35,55.22,46.11,38.36,44.7,49.15,Pass,C
33,Rohit Raj Yadav_33,B,School,5.11,5.06,72.18,Yes,Yes,86.9,21.44,77.58,78.03,47.1,62.21,Pass,A
34,Pooja Dev Gupta_34,B,Graduate,1.0,6.16,71.16,No,No,52.3,64.49,74.87,59.2,42.71,58.71,Pass,B
35,Karan Prasad Singh_35,C,Graduate,5.25,7.03,67.45,Yes,Yes,52.86,38.93,61.37,88.46,57.11,59.74,Pass,B
36,Simran Kant Kumar_36,B,Graduate,5.61,4.39,100.0,Yes,Yes,67.46,82.33,71.15,65.61,73.43,72.0,Pass,A
37,Amit Narayan Mishra_37,C,School,6.68,8.81,68.82,Yes,No,75.0,35.91,45.79,64.6,60.09,56.28,Pass,B
